pose_id,pose_name,category,mode,view,canvas,yaw,pitch,bbox_x,bbox_y,bbox_w,bbox_h,clipped,occupation_pct,silhouette_pct,margin_top,margin_bottom,margin_left,margin_right
starfish,"Starfish",reclining,skeleton,90/0,160x180,90,0,25.8,69.1,128.3,80.3,0,35.8,48.3,69.1,30.6,25.8,5.8
starfish,"Starfish",reclining,skeleton,45/0,160x180,45,0,32.1,69.1,124.2,80.3,0,34.6,49.8,69.1,30.6,32.1,3.7
starfish,"Starfish",reclining,ghost,0/0,160x180,0,0,14.5,69.1,135.6,80.3,0,37.8,31.2,69.1,30.6,14.5,9.9
starfish,"Starfish",reclining,ghost,90/0,160x180,90,0,25.8,69.1,128.3,80.3,0,35.8,33.1,69.1,30.6,25.8,5.8
starfish,"Starfish",reclining,ghost,45/0,160x180,45,0,32.1,69.1,124.2,80.3,0,34.6,32.6,69.1,30.6,32.1,3.7
lounger-recline,"Lounger Recline",seated,avatar,0/0,160x180,0,0,37.9,26.9,92.0,76.5,0,24.5,21.0,26.9,76.6,37.9,30.1
lounger-recline,"Lounger Recline",seated,avatar,90/0,160x180,90,0,21.2,26.9,112.8,76.5,0,30.0,13.3,26.9,76.6,21.2,25.9
lounger-recline,"Lounger Recline",seated,avatar,45/0,160x180,45,0,31.9,26.9,92.1,76.5,0,24.5,22.2,26.9,76.6,31.9,36.0
lounger-recline,"Lounger Recline",seated,skeleton,0/0,160x180,0,0,37.9,26.9,92.0,76.5,0,24.5,48.3,26.9,76.6,37.9,30.1
lounger-recline,"Lounger Recline",seated,skeleton,90/0,160x180,90,0,21.2,26.9,112.8,76.5,0,30.0,47.1,26.9,76.6,21.2,25.9
lounger-recline,"Lounger Recline",seated,skeleton,45/0,160x180,45,0,31.9,26.9,92.1,76.5,0,24.5,47.7,26.9,76.6,31.9,36.0
lounger-recline,"Lounger Recline",seated,ghost,0/0,160x180,0,0,37.9,26.9,92.0,76.5,0,24.5,31.9,26.9,76.6,37.9,30.1
lounger-recline,"Lounger Recline",seated,ghost,90/0,160x180,90,0,21.2,26.9,112.8,76.5,0,30.0,33.7,26.9,76.6,21.2,25.9
lounger-recline,"Lounger Recline",seated,ghost,45/0,160x180,45,0,31.9,26.9,92.1,76.5,0,24.5,34.0,26.9,76.6,31.9,36.0
crouching-prowl,"Crouching Prowl",eccentric,avatar,0/0,160x180,0,0,38.6,17.1,91.8,99.2,0,31.6,28.2,17.1,63.6,38.6,29.7
crouching-prowl,"Crouching Prowl",eccentric,avatar,90/0,160x180,90,0,50.9,17.1,68.7,99.2,0,23.7,18.2,17.1,63.6,50.9,40.4
crouching-prowl,"Crouching Prowl",eccentric,avatar,45/0,160x180,45,0,43.3,17.1,83.8,99.2,0,28.9,28.9,17.1,63.6,43.3,33.0
crouching-prowl,"Crouching Prowl",eccentric,skeleton,0/0,160x180,0,0,38.6,17.1,91.8,99.2,0,31.6,50.5,17.1,63.6,38.6,29.7
crouching-prowl,"Crouching Prowl",eccentric,skeleton,90/0,160x180,90,0,50.9,17.1,68.7,99.2,0,23.7,48.3,17.1,63.6,50.9,40.4
crouching-prowl,"Crouching Prowl",eccentric,skeleton,45/0,160x180,45,0,43.3,17.1,83.8,99.2,0,28.9,49.8,17.1,63.6,43.3,33.0
